date,state,daily,cummulative
2/1/23,AR,140,4845071
2/1/23,OR,1918,9290399
2/1/23,GU,87,395781
2/1/23,OK,609,6730822
2/1/23,KS,797,5351297
2/1/23,ND,311,1302618
2/1/23,SC,1194,8606049
2/1/23,LA,961,6920156
2/1/23,MN,2808,12688384
2/1/23,AZ,2325,14511966
2/1/23,NE,602,3791496
2/1/23,US,99647,671212866
2/1/23,PR,1133,7810122
2/1/23,MT,234,1859718
2/1/23,AS,4,115192
2/1/23,PA,4461,27405153
2/1/23,MD,2286,14593995
2/1/23,MH,68,98322
2/1/23,TX,4385,52034751
2/1/23,AL,791,6982409
2/1/23,NC,2992,19304178
2/1/23,MO,1450,10427266
2/1/23,NY,6014,44868361
2/1/23,ME,743,3504698
2/1/23,ID,367,2872802
2/1/23,HI,459,3495281
2/1/23,NM,731,4710731
2/1/23,OH,3304,20942419
2/1/23,CO,2400,12908367
2/1/23,PW,12,51751
2/1/23,IL,3834,26620331
2/1/23,NJ,2394,19696292
2/1/23,UT,974,6120071
2/1/23,MA,3489,17989046
2/1/23,WY,81,848978
2/1/23,FL,5353,41964086
2/1/23,MS,518,4282979
2/1/23,SD,420,1673554
2/1/23,CT,1336,8969969
2/1/23,NH,116,2961976
2/1/23,VT,298,1745763
2/1/23,FM,183,203965
2/1/23,MP,16,117102
2/1/23,TN,723,11264124
2/1/23,AK,207,1317109
2/1/23,GA,2319,17003778
2/1/23,NV,640,5547347
2/1/23,MI,2879,18618711
2/1/23,WA,3400,17525732
2/1/23,VI,14,154763
2/1/23,IN,1672,11118950
2/1/23,RI,453,2649703
2/1/23,CA,16346,87605664
2/1/23,DE,327,2154556
2/1/23,WV,283,3083753
2/1/23,WI,2506,12325773
2/1/23,VA,2726,19454190
1/1/23,US,9990,666962231
1/1/23,CT,43,8906421
1/1/23,UT,22,6085435
1/1/23,NC,161,19184367
1/1/23,OH,269,20814122
1/1/23,NE,54,3768553
1/1/23,IL,426,26453682
1/1/23,DC,36,2105664
1/1/23,MP,0,116054
